Pver_Sc0009698_size813	8.31097	12.5419	43.0687	16.0266	5.00049	7.63365	7.7115	5.05102	4.32783	8.61465	0	9.663	2.96648	0	9.1977	4.31303	1	4.24382	2.68257	1.51686	34.1783	15.4372	9.07375	13.2489	7.67076	3.41279	0	0	9.66423	11.789	14.4912	4.50782
Pver_Sc0007690_size1083	0	0	0	1.56073	0	0	1.14744	0	0	0	3.22847	0	2.00474	0	0	2.47256	0	0	0	1.53956	0	1.80735	0.619715	0	1	1.36483	2.18565	0	0	0	3.23379	1.94277
Pver_xpSc0121133_size651825	23856.1	35470.7	37037.9	36189.1	24080.8	23470	31333.3	21586	28895.7	22398.2	23386	22380.2	17662.3	25213.7	38760.9	29281.4	26592.6	28728.4	27349.1	24212	34041.1	25294.4	46266	22753.7	23033.5	40057.2	32633.1	13250.7	37742.4	42349.2	37084.1	24625.1
Pver_Sc0002167_size7443	0	2.15528	0	45.044	0	0	1.02908	0	0	1.06513	1.00219	1.02137	1.0362	1.0161	36.608	0	0	0	2.06013	1.05556	3.16954	1.06472	0	1.06605	0	4.59743	0	0	2.28405	12.5464	0	0
Pver_Sc0014254_size511	1.01196	0	1.30754	0	0	1.04467	1.02179	1.05113	2.2059	2.86342	0	0	0	0	0	0	1.08088	0	1.01145	1.01227	2.04592	0	8.66936	0	3.07743	3.18338	4.09895	0	0	0	0	0
Pver_Sc0013316_size558	20.2562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.94697	2.05364	0	0	9.94442	0	0	14.3009	0	4.37757	2.39481	2.0372	2.05092
Pver_Sc0001196_size37550	35.4063	52.611	48.0257	66.3989	25.5126	11.7425	37.2891	51.2614	54.7089	68.7622	43.7644	40.2966	40.5762	33.0564	46.5382	65.82	35.8091	64.3313	57.9529	16.0073	49.7727	23.0776	52.6321	33.2236	47.2216	78.0933	49.7538	15.4161	16.3371	34.2796	57.8453	20.9765
Pver_Sc0004034_size2596	0	0	0	0	1.09597	0	0	0	0	0	0	0	0	0	0	1.3343	1.50813	2.6159	0	0	0	0	3.74911	0	0	0	0	0	2.07781	0	1.18065	0
Pver_Sc0001256_size31750	7.02703	1.00276	4.00011	28.7169	3.00011	1.00004	9.02781	16.1083	1.0001	1.00002	0	8.01765	6.01138	0	12.0007	0	9.0258	3.00261	5.12549	4	4.00029	3.16928	5.00383	8.00018	13.0008	10.0333	14.0005	14.0002	10.001	28.0128	11.0589	15
Pver_Sc0003384_size3439	13.934	11.2842	39.8121	33.3596	18.0716	25.7853	11.1589	28.9024	17.3851	44.1959	4.47468	5.40785	25.0896	13.6979	9.52817	52.3732	12.4348	56.6017	22.0603	52.8229	45.5175	16.423	19.7739	11.1198	15.5804	18.2458	21.8999	3	18.8822	29.1413	19.2186	5.20771
Pver_xfSc0004015_size2007	18.5397	9.74597	7.21261	18.3275	0	1.35904	0	7.38671	6.9954	4.52823	12.4425	10.7043	0	7.3663	8.65161	1.36468	6.14644	3.37224	1.47224	5.60502	3.42613	0	1.75589	0	1.19721	2.30245	1.66389	2.19796	9.41124	1.50419	1.13167	0
Pver_Sc0001163_size39829	134.716	483.946	405.663	601.708	573.144	361.086	882.286	136.16	173.421	5633.99	424.376	182.538	264.255	500.663	594.219	579.414	651.214	2146.33	353.527	546.152	1152.65	395.215	3328.04	1152.23	660.222	204.372	1937.48	68.7732	950.618	731.877	748.726	463.033
Pver_Sc0002618_size5180	80.7078	65.7482	103.153	252.847	15.1679	13.7647	42.1801	29.8041	16.5295	16.7642	11.6892	14.6275	34.535	25.7741	37.2551	18.5111	29.3268	6.92143	9.42738	41.0523	29.3911	10.3959	52.7779	9.27784	9.46334	52.1316	28.7863	33.3611	33.2162	9.14647	45.4038	22.7188
Pver_Sc0005573_size1647	0	0	1	10.6178	0	0	6.08671	17.8009	2	1	0	36	0	40	1.00365	0	0	2.04504	0	0	4.18437	0	0	0	0	0	4.49018	1.18876	0	1.05207	3	0
Pver_Sc0011349_size674	0	0	1.12963	1.01687	2	1	0	0	0	0	2.67548	0	0	0	0	1.01431	0	0	0	0	0	0	2.04392	0	0	0	0	0	0	0	0	0
Pver_Sc0001329_size26941	86.5462	262.209	160.072	170.285	112.104	96.104	101.324	89.9614	407.172	109.788	153.304	146.486	25.0888	104.73	33.3821	239	210.009	101.167	74.0109	148.301	215.202	112.976	109.997	97.2352	61.1421	382.585	90.405	118.668	49.6579	174.393	209.618	106.718
Pver_xfSc0000291_size12682	85.9868	137.195	126.963	274.021	153.326	142.072	153.274	72.6689	195.152	191.503	135.561	105.218	95.5745	130.505	82.1712	53.9456	147.461	140.641	83.4421	138.434	165.407	122.355	194.199	77.0262	76.2508	263.934	212.751	95.6148	195.542	205.014	168.688	158.147
Pver_Sc0009218_size866	0	0	3.67632	4.14479	0	0	0	0	0	0	0	0	1.21773	0	1.41465	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Pver_Sc0012248_size613	0.576414	11.9	5.86183	0	1	2	1.78875	0	3	0	0	0	0	0.182231	1	2.19421	4	2	0	1	1	0	1	1	3.13907	1.07127	1.83199	0	3	1.64043	1	1.5268
Pver_Sc0004882_size1963	0	0	0	0	1.29118	0	0	0	0	0	2.11254	1.05442	0	0	0	0	0	0	0	0	0	0.380166	0	0	1.13965	1.10685	0	0	0	0	0	0
Pver_Sc0010230_size764	0	0	0	0	0	0	2.53204	0	0	0	1.22738	0	2.5592	0	0	0	3.17692	3.66562	3.36987	0	3.726	0	0	0	0	0	1.36568	0	0	2.19594	3.01381	0
Pver_xpSc0121213_size50076	7.14207	9.02319	5.03033	9.03725	7.05356	2.01064	4.11054	2.00541	7.03505	1.0065	19.0627	4.0951	8.01995	12.1645	3.01823	11.0544	5.02565	20.2926	3.03109	10.0325	28.0888	2.03915	20.4963	11.5727	16.0652	12.1602	12.0313	2.00117	14.0814	11.1437	11.0341	3.01895
Pver_Sc0001835_size10695	132.399	100.796	130.462	152.974	92.6165	59.6807	50.0423	123.212	108.686	116.488	47.2735	368.833	69.4796	82.3476	70.0414	58.8467	292.172	80.8933	78.5983	72.6937	43.3837	126.307	53.4482	38.1815	92.4272	129.873	139.827	47.1198	44.2813	131.531	132.068	293.209
